_RAJ2000,_DEJ2000,HIP,Vmag,RAICRS,DEICRS,x_coord,y_coord
000.0995847627,+26.9181082481,    34, 6.43,0.09946973,26.91823821,-1.631548902878958,0.8360172640798907
000.1029678346,-14.4904842926,    35, 9.07,0.10256052,-14.49048072,-1.7388635626893307,-0.4486402156575956
000.1033991460,+12.2671277140,    36, 7.68,0.1032755,12.26709303,-1.7663261754759523,0.3894855090515419
000.1053271547,-47.1795667332,    37,10.44,0.1053519,-47.17958382,-1.245708491125726,-1.3494185135661463
000.1131259150,-79.0619829896,    38, 8.65,0.11104694,-79.06183133,-0.36376251992510844,-1.892027354692666
000.1122921521,-16.6970092898,    39, 7.46,0.11186148,-16.6969302,-1.7207064030772143,-0.5157920218969064
000.1165709244,+54.3022365976,    41, 8.70,0.11656351,54.30223774,-1.1072377568908207,1.551669052223819
000.1219509432,+67.2167835208,    40,10.61,0.12196971,67.21679125,-0.7511444602560723,1.7997584500358743
000.1254425641,+25.8447647671,    42, 8.20,0.12538666,25.84478059,-1.6443084215896329,0.8040068942077143
000.1287023299,+59.5596793560,    43, 6.18,0.129089,59.55973786,-0.9696344576799337,1.6610947581035902
000.1327493241,-03.3063227539,    44, 7.91,0.1327223,-3.30636174,-1.7923117160751971,-0.10076287973935504
000.1339087125,-72.2027170667,    45, 9.59,0.13420453,-72.20271031,-0.5792584510556296,-1.8135004946384625
000.1345851827,-25.6222853151,    46, 8.57,0.13454429,-25.62225277,-1.624262384291439,-0.7803123053427842
000.1349959315,-56.8356023479,    47,10.78,0.13519236,-56.83524773,-1.0137587472859662,-1.5580644434986273
000.1352357185,-40.6904740567,    48, 7.31,0.13522264,-40.69044664,-1.380259383140502,-1.190875575992873
000.1395683011,+16.6690487224,    49, 9.53,0.13950066,16.66903183,-1.735837414085333,0.5259310176165343
000.1430850464,-53.0977126448,    50, 6.49,0.14287059,-53.09766277,-1.1074112816095176,-1.4810190635304468
000.1434152117,+01.0662126454,    51, 8.94,0.14339044,1.06619726,-1.7965541363415123,0.03699812591541952
000.1468910146,-77.0201164131,    52, 8.56,0.14665879,-77.0201405,-0.42902211859384315,-1.87095451782417
000.1474234962,-29.2634139700,    53,10.96,0.14739023,-29.26338247,-1.574255558962102,-0.884115973924061
000.1525936914,+17.9689084162,    54,10.57,0.15165558,17.96895579,-1.7249741962083378,0.5658441043302916
000.1588334161,-66.6831734054,    55, 7.40,0.15783323,-66.68310336,-0.7435812800130107,-1.733523135577008
000.1629265910,+00.2229314796,    56, 8.12,0.16283175,0.22293899,-1.795793029164619,0.01041118991919257
000.1679988682,-69.6759649610,    57, 8.27,0.16828557,-69.67580068,-0.6554564743645405,-1.778429110637413
000.1735189270,+62.1758981384,    58, 7.05,0.17376341,62.17600484,-0.8969276032992591,1.710795737925931
000.1744463248,+55.7224601908,    59, 9.09,0.17444749,55.72246267,-1.0704727762047896,1.5815212702507186
000.1754330477,-64.4657990558,    60, 8.34,0.17542318,-64.46582516,-0.8069749759117388,-1.6973414768693023
000.1762918211,+53.8221456596,    61, 8.86,0.17615726,53.82218625,-1.1184703360361061,1.5402451933535608
000.1799751511,-45.4227389281,    62, 8.27,0.17996123,-45.42272731,-1.2827320381340497,-1.3067869472590137
000.1818095066,+45.2533335847,    63, 6.36,0.1817495,45.25333305,-1.3163074241109431,1.3380511423859809
000.1845726200,-27.9075816018,    64, 8.08,0.18458893,-27.90754614,-1.5925229392341904,-0.8452628064015572
000.1871096831,-54.8305236850,    65,11.00,0.18797532,-54.83034057,-1.0640525780414074,-1.516692880738631
000.1884242533,-72.3182202550,    66, 8.55,0.18854917,-72.31824913,-0.5755091592445867,-1.8145098294775759
000.1993427070,+23.5382187125,    67, 7.83,0.19910132,23.53824873,-1.669269666823019,0.7344743637030128
000.2003829227,+16.9881971773,    68, 8.79,0.20063628,16.98896499,-1.7315276707054736,0.5353317434086787
000.2014181885,+30.3958896703,    69, 8.33,0.20137175,30.39589283,-1.5816255804453327,0.9361000000949451
000.2026581845,+36.7776373110,    70,10.42,0.20280014,36.77763945,-1.479956167469944,1.1154002813062358
000.2070254615,+36.7801059571,    71, 8.26,0.20709981,36.78015328,-1.4798181420853742,1.115409081145499
000.2199319023,-12.8289609656,    72, 8.97,0.21946989,-12.82867015,-1.747285421533963,-0.3968646563977449
000.2203287297,+66.8480110818,    73, 6.90,0.22045719,66.84796687,-0.7614981793360021,1.7925470465346023
000.2223452058,+35.7526241534,    74, 9.93,0.22187281,35.75272213,-1.4971385969288544,1.086963774104205
000.2232728863,-50.4464587777,    75, 7.42,0.22316216,-50.446465,-1.1696271071327617,-1.4221248921334446
000.2282138630,+32.8256539818,    76, 9.03,0.22821959,32.82567452,-1.544551368179822,1.0050803162847517
000.2305745718,-30.0641664515,    77, 8.41,0.23052169,-30.06417333,-1.560508763454468,-0.9055475825631027
000.2323117676,+17.8678508744,    78, 8.06,0.23231307,17.86784193,-1.7234644483766148,0.5620985835096671
000.2357718602,+35.3167202940,    79, 8.69,0.23572286,35.31675386,-1.504163979413086,1.0747156394187556
000.2428327384,-11.8237385410,    80, 8.40,0.24179216,-11.82353722,-1.753154521332646,-0.3657906789163026
000.2434138377,-04.9325343939,    81, 8.57,0.24386443,-4.93211471,-1.7847360205844214,-0.15150119566631454
000.2480168522,-10.9359635319,    82, 9.50,0.24803173,-10.9358054,-1.758334361023396,-0.33835985390686163
000.2480726945,+52.0805620337,    83, 8.85,0.248081,52.08056444,-1.1601916011541002,1.5001771651259839
000.2524274552,+27.8863304078,    84, 9.61,0.25180722,27.88634368,-1.6149998762517863,0.862675254047947
000.2561370144,-24.7140478290,    85,10.62,0.2560073,-24.71404902,-1.632503427017551,-0.7526154568935748
000.2604630307,+69.6035047896,    86, 8.05,0.26038262,69.6034983,-0.678196449268323,1.8359173771224082
000.2614964296,-05.8350022074,    87, 7.80,0.26151556,-5.83497569,-1.7813571364547287,-0.17969585152390408
000.2690934424,-48.8098755962,    88, 5.71,0.26915958,-48.80985919,-1.2066350910284285,-1.384577159574967
000.2771545370,+53.1669426029,    89, 7.87,0.27715178,53.16694253,-1.1333388461779001,1.5242148245046157
000.2800818283,-41.8875439075,    90, 7.64,0.27999988,-41.88742972,-1.353962283603781,-1.2188491057293915
000.2805308174,-05.8743477321,    91, 7.66,0.28056847,-5.87433293,-1.780632442589946,-0.1808622519900143
000.2906966016,-20.7055496571,    92, 8.68,0.29062512,-20.70558648,-1.677315475002468,-0.634507968063645
000.2923560848,-00.0760984511,    93, 8.12,0.29222255,-0.07592034,-1.7915822662620005,0.0010596803281489738
000.2949984531,-32.7568365337,    94,10.10,0.29485302,-32.75680569,-1.5175667128981118,-0.9792379029553712
000.3020141338,-11.9640335701,    95, 8.67,0.30203883,-11.96400015,-1.7504553689129174,-0.36974583411990436
000.3049451416,+13.9750881003,    96,10.46,0.30489357,13.97474826,-1.7499767325449882,0.4414568986133013
000.3071697082,-52.7985754081,    98, 9.87,0.30717811,-52.79857954,-1.1125642848266164,-1.4722286167500689
000.3073814986,-21.4040423290,    97, 9.48,0.30733362,-21.40404527,-1.6694258891842346,-0.6550413189575411
000.3160632268,+60.3552822057,    99, 7.04,0.3160162,60.35529798,-0.9461122931027759,1.6741625650185585
000.3163760569,+19.7412432230,   100, 8.44,0.31645128,19.74131648,-1.7045862530807685,0.6186527865485174
000.3197097992,-47.7938314469,   101, 9.88,0.3197615,-47.79382994,-1.228703024970602,-1.3604781711731697
000.3204875805,-41.4874373910,   102, 7.05,0.320432,-41.4873557,-1.3611287661464875,-1.2082350718853365
000.3220750212,-68.3711274828,   103, 8.29,0.32214393,-68.37102958,-0.6933209009881355,-1.7576354733934292
000.3266243146,-31.8996185345,   104, 9.34,0.32673657,-31.89961642,-1.5303454419124687,-0.9552716050002457
000.3278079299,+70.9289378451,   105, 7.73,0.32784438,70.9289578,-0.6370684580698015,1.855001841635761
000.3302148739,+49.9815578121,   106, 6.22,0.33016464,49.98158501,-1.2086986888388414,1.4504812608321502
000.3338302112,-50.3373733304,   107, 5.53,0.33380226,-50.33739907,-1.1705980784194028,-1.4180532150924114
000.3366443853,-70.1252718836,   108, 8.53,0.33655323,-70.12530771,-0.6411957919958544,-1.783119645770166
