deg	deg	HIP	mag	mas	mag	sptype
051.2351561155	-13.5615860787	 15915	 9.23	   1.87	 0.990	G8IV
051.2415462431	-12.0076897225	 15916	 9.31	   6.55	 0.583	G1V
051.2436471569	-46.4676132199	 15917	 9.79	   2.68	 0.444	F3V
051.2472831524	+10.0100432630	 15918	 7.96	   5.37	 1.034	G5
051.2488785327	-05.3637556306	 15919	 7.86	  66.15	 1.153	K5V
051.2525902809	-14.1160708177	 15920	 7.86	   7.04	 0.490	F6V
051.2540530948	-47.9350816099	 15921	 8.37	   3.29	 0.955	K0III
051.2691520303	+10.9764607781	 15922	 7.29	   8.77	 0.152	A0
051.2786160384	+07.3934463928	 15923	 9.44	   8.82	 0.554	F8
051.2876038261	-65.0053025567	 15924	 8.46	   4.61	 1.096	K2III
051.2888904053	-12.3552200796	 15926	 8.73	   5.18	 1.544	M3/M4III
051.2891102963	+41.2573012468	 15925	 6.52	   4.81	 0.047	A0V
051.2902028404	-04.4782025558	 15927	 7.22	   7.34	 1.030	G5
051.2941494424	+12.4853739085	 15928	 7.42	   9.42	 0.277	A0
051.2943264755	-06.7356861531	 15929	 8.44	  14.24	 0.503	F8
051.2983358339	-29.8430876448	 15930	 7.26	   3.90	 0.992	G8III
051.3004649657	-78.6662106305	 15931	 8.54	   1.43	 1.706	M2III
051.3028731007	-21.0726375485	 15932	 7.85	  12.72	 0.523	F7V
051.3033883907	-37.1526880913	 15933	 7.16	   9.60	 0.143	A4V
051.3044215102	+42.1231262337	 15934	 9.43	  13.56	 0.780	K0
051.3041951231	+39.0514221533	 15935	 9.31	   3.66	 0.136	A0
051.3043711236	+09.6912046018	 15936	 8.75	   3.25	 1.177	G5
051.3057131716	+32.3794485645	 15937	 8.44	   7.89	 0.562	F8
051.3058017861	+04.8736258164	 15938	10.79	   3.34	 0.500	F5
051.3084124710	+21.2140685007	 15939	 7.95	   2.62	 1.844	M1
051.3126803790	-15.0392342297	 15940	 7.98	  15.30	 0.667	G3V
051.3177624266	+60.4837109364	 15941	 7.96	   1.13	 0.417	B2III
051.3217578708	+37.9187101357	 15942	 8.03	   4.24	 1.039	G5
051.3258877909	+58.6945375590	 15943	 6.85	   7.32	 1.068	K1III
051.3313441847	+40.9533302997	 15944	 7.24	   4.72	-0.049	A0
051.3319156031	+56.8403945754	 15945	 9.46	   2.17	 0.407	B8
051.3346290411	-04.6552539733	 15946	 6.99	   5.39	 0.940	G5
051.3348965429	-45.2710626704	 15947	 8.35	   3.90	 0.983	G8III
051.3364440212	+03.2818091949	 15948	 8.74	   0.52	 1.075	G5
051.3420703849	+36.0174293082	 15949	 9.10	   4.96	 0.499	A2
051.3444038423	+50.7942737674	 15950	10.38	   1.28	 0.427	A7
051.3474215066	+15.8263750622	 15951	 7.91	   4.26	 1.252	K2
051.3484875281	-24.5778464067	 15952	 9.10	   0.94	 1.086	G8III:
051.3496634336	+31.7310965589	 15953	 7.31	   4.80	 1.510	K4III-IV
051.3509429248	+17.7438088091	 15954	 8.69	   6.77	 0.667	K0
051.3535131190	-01.1577474332	 15955	10.12	   3.40	 0.564	
051.3537597608	-01.1530019858	 15956	 9.05	   1.68	 0.435	F5
051.3539000010	-52.3816521065	 15957	 7.80	   2.79	 1.255	K1III
051.3552413935	+25.9522043901	 15958	 9.36	   4.76	 1.083	K0
051.3610211172	+71.6847421572	 15959	 7.62	   4.40	 0.069	B8
051.3623686027	+08.4271442505	 15960	 9.50	  10.12	 0.537	F5
051.3789697529	+17.1426156792	 15961	 9.43	  12.47	 0.700	G0
051.3797970464	-06.6955869064	 15962	 9.54	  21.37	 0.940	K2V
051.3930559283	-17.6984436062	 15963	 8.96	   2.97	 0.320	A8V
051.3955143460	-38.3125838824	 15964	 7.85	  11.50	 0.520	F5/F6V
051.3962422686	-30.5512419014	 15965	 9.54	   4.51	 0.324	F0V
051.3981856402	-39.0873259589	 15966	 9.30	   3.38	 0.994	K0
051.3997115043	-20.3343199913	 15967	10.35	  -1.44	-0.158	B4III
051.4010532860	-69.3364364657	 15968	 5.96	  25.45	 0.415	F3V
051.4020419689	-27.2724886392	 15969	 7.40	   7.73	 0.952	K0III
051.4029125774	+47.0235599743	 15970	10.09	   7.18	 0.214	
051.4069220652	+47.0206550082	 15971	 8.92	  12.35	 0.286	A7V
051.4071128089	+45.5155612022	 15972	 7.50	   2.14	-0.300	B8
051.4154010275	-42.9866765718	 15973	11.26	  40.18	 1.439	A5
051.4170575139	-85.9462170954	 15974	 9.18	   1.31	 0.321	F0V
051.4243866866	+13.6213553760	 15975	 8.65	   2.13	 1.424	K0
051.4314717505	+52.7522135271	 15976	 8.25	   3.65	 0.206	A0
051.4332601503	+02.0334926568	 15977	 9.46	   9.08	 0.589	G0
