deg	deg	HIP	mag	mas	mag	sptype
115.6743636762	-35.1614931404	 37578	 9.40	   5.23	 0.605	G1V
115.6791055748	+22.2240481107	 37579	 7.13	  13.48	 0.416	F5
115.6814508858	+34.0002179599	 37580	 6.05	  18.31	 0.469	F7V
115.6841107719	+80.5557364186	 37581	 8.66	   4.34	 0.529	F8
115.6890909468	+07.2114328246	 37582	 8.50	   3.80	 0.337	A0
115.6906638118	-61.8999856949	 37583	 8.93	   2.99	 1.004	K5
115.6915680741	+04.0708147583	 37584	 7.95	  13.38	 0.468	F5
115.6920918884	+15.0705870444	 37585	 8.45	   4.32	 1.118	G5
115.6939353450	-33.2166847403	 37586	 8.47	   1.94	 1.456	K3III
115.6999641911	+64.9991714410	 37587	 8.29	  11.92	 0.524	F5
115.7003888146	-20.4667925258	 37588	 8.88	   0.47	-0.020	B9IV/V
115.7004566430	+36.6067474571	 37589	 8.48	  10.84	 0.470	F5
115.7006364419	-26.3513258029	 37590	 5.64	   9.79	 0.990	K1III
115.7035287161	+17.4245380085	 37591	 8.94	   3.16	 0.401	F0
115.7036395914	+07.0815176237	 37592	 8.49	   3.01	 0.225	A0
115.7093300962	+01.6094748825	 37593	 7.30	   8.42	 0.150	A3
115.7101597208	-38.9179375230	 37594	 7.72	   7.32	 0.344	F2IV
115.7103827512	+61.1573742097	 37595	 7.87	   3.89	 1.230	K0
115.7136688362	-55.3128469643	 37597	 7.64	   2.08	-0.057	B3V
115.7137281008	-12.6680896972	 37596	 8.37	   2.37	 0.064	A0III/IV
115.7165942011	-71.5419192793	 37598	 7.28	   2.78	 1.537	K5III
115.7222050513	-58.2300578845	 37599	 6.20	   5.18	 1.049	K0III
115.7244497570	-31.6554499976	 37600	 8.89	   1.70	 1.274	K2/K3V:p...
115.7259460260	+45.8179083717	 37601	 7.87	   3.35	 1.025	K0
115.7315062220	+29.8342131828	 37602	 9.32	   4.12	 0.349	F5
115.7347412795	-21.9947231346	 37603	 6.82	   7.29	 1.098	K1III/IV
115.7349346660	+65.2907161689	 37604	 8.23	   6.05	 0.320	F0
115.7379029324	-45.1731179334	 37606	 5.04	  41.43	 0.765	G5IV
115.7383505348	+68.1188075304	 37605	 8.49	   3.42	 1.143	K0
115.7390969578	+60.2956518617	 37607	10.27	  16.63	 0.836	K2
115.7455906156	-17.0616033031	 37608	 6.53	   7.40	 0.813	G5/G6IV
115.7517338918	+58.7103604136	 37609	 4.93	  13.75	 0.104	A3IVn
115.7567570165	-43.2580293843	 37610	 9.02	   3.49	-0.006	B8/B9IV
115.7627021205	-27.6683771617	 37611	 6.93	   9.14	 0.183	A4/A5V
115.7629174020	-33.3124515456	 37612	 7.37	  11.62	 0.340	F0IV
115.7713380845	+76.7601612543	 37613	 8.10	   6.51	 0.338	F0
115.7725758847	+00.1893331601	 37614	 6.17	   7.20	 1.047	K0III
115.7768029078	+48.6860882729	 37615	 9.81	   1.14	 0.341	F2
115.7783587123	-38.8636789451	 37616	 6.89	   2.81	 1.026	G6/G8III
115.7785997127	-39.9608443502	 37618	 9.15	  10.48	 0.625	G5V
115.7790623624	-49.9929947451	 37617	 6.56	   4.12	 0.077	A2V
115.7864302769	+01.0418037267	 37619	 8.15	   3.78	-0.070	B9
115.7923696822	+39.2986427454	 37620	 9.27	   7.90	 0.453	F8
115.7981926158	-61.9012572842	 37621	 8.18	  11.48	 0.436	F2IV/V
115.7988932597	+18.1784096482	 37622	11.32	  32.36	 1.400	K:...
115.7999287480	-36.0500895590	 37623	 5.60	   5.45	-0.130	B5V
115.8100686235	-04.1310529482	 37624	 7.19	  14.24	 0.341	F0
115.8120682619	-14.0024125278	 37625	 9.25	   1.06	-0.040	A0
115.8145104032	+67.6085602854	 37626	 9.04	   3.85	 0.122	A0
115.8186334091	+69.3364470367	 37627	 7.03	   6.26	 1.118	K0
115.8199460124	-33.8029934425	 37628	 7.46	   3.23	 0.118	A2III/IV
115.8280271094	+28.8835096096	 37629	 4.23	  26.68	 1.118	K1III SB
115.8325512864	+58.3353742522	 37630	 8.60	   1.52	 1.393	K5
115.8330885903	-70.0641361849	 37631	 7.85	   9.45	 0.602	F8V
115.8342232492	-22.2985820584	 37632	 6.94	   4.97	 0.912	G8IIICN...
115.8370743169	+32.6653432115	 37633	 9.36	   7.75	 0.363	F0
115.8383015688	+04.9457616839	 37634	 6.50	   5.07	 1.356	K0
115.8395153980	-52.1641034707	 37635	 6.69	  33.13	 0.550	G0V
115.8424203981	+22.3994719767	 37636	 6.25	  10.63	 0.930	K0III
115.8462175168	-47.0466536833	 37637	 7.86	   2.71	-0.072	B5V
115.8507437226	-54.0757423887	 37638	 9.42	   2.45	 1.402	K2III:
115.8524592361	-29.3597718349	 37639	 8.23	   8.24	 0.616	G2V
115.8610460258	+33.1339361293	 37640	 8.59	   8.02	 0.350	F2
115.8707300647	-29.3201254835	 37641	10.00	  -1.95	 0.197	O9.5II:
115.8711974075	+26.5953014764	 37642	 8.63	   0.02	 1.426	K5
115.8734592536	-54.2412961750	 37643	 6.88	   6.84	 0.919	G6/G8III
115.8741293718	+19.2763239893	 37644	 9.00	   7.16	 0.975	K0
115.8796017564	+03.4858681435	 37645	 6.97	  18.96	 0.581	F8
115.8838601946	-04.6806611333	 37647	 7.14	   2.78	-0.084	B9
115.8840358904	-27.1791997781	 37646	 7.96	   4.21	 0.077	Ap...
115.8849442327	-28.4108847337	 37648	 4.63	   3.34	 1.632	K5III
115.8903262520	-45.8639689950	 37649	 7.23	   2.14	 1.720	K5III
115.8952982888	+23.7894053610	 37650	 9.25	   3.75	 0.102	A
115.8969159362	-10.1417875279	 37651	 7.45	   4.02	 1.219	K2
115.8988066905	-21.2815940767	 37652	 8.00	   2.58	-0.002	Ap Si
115.9000299765	-37.0891388262	 37653	 8.55	   3.47	-0.070	B8V
115.9028616765	-01.3482166914	 37654	 7.32	   2.22	 1.261	K2
115.9055237436	-04.7079068883	 37655	 6.91	   6.48	 0.920	G5
115.9062392199	+06.2848407804	 37656	 7.39	   7.87	 0.064	B9
115.9080810571	+08.2730505604	 37657	 8.81	   4.08	 0.363	F5
115.9121830195	-35.6295753721	 37658	 9.19	   0.91	 1.447	K2
115.9126765896	-41.4676753015	 37659	 7.32	   1.91	 1.685	M2III
115.9129580757	-25.5038349971	 37660	 6.56	   0.20	 0.065	A3III
115.9138687356	-06.3097809447	 37661	 8.81	  -1.94	 1.515	K5
115.9144570918	+16.2779170129	 37662	 9.42	   3.97	 0.019	A0
115.9173594141	-52.8395279629	 37663	 8.40	   1.63	-0.035	B6V
115.9247041549	-40.9337457933	 37664	 5.12	  15.13	 1.104	K1III
115.9272648308	+13.6689488418	 37665	 9.20	   0.95	 0.367	F5
115.9288141999	-38.2018795876	 37666	 6.42	   5.62	-0.119	B8IV
115.9296304918	-22.1680153943	 37667	 7.87	   5.16	 0.088	Ap...
115.9307740601	-41.3859276110	 37668	 8.73	   1.46	-0.074	B4V
115.9331638766	-00.0669300417	 37671	10.39	   3.08	 0.536	sdF:
115.9336783208	-00.0636668949	 37670	11.24	  10.58	 0.540	sdF:
115.9338953802	-63.2923593452	 37669	 8.73	   6.61	 0.377	F2/F3V
115.9418879599	-55.5493317221	 37672	 8.51	   0.70	 1.533	K4III
115.9434558519	+59.2890988351	 37673	 7.66	   6.65	 0.367	F0
115.9467389455	+43.7946518543	 37674	 7.18	  11.50	 0.900	G5
115.9496366697	-40.3093253192	 37675	 6.58	   3.36	-0.131	B3Vne
115.9517610933	-52.2059270740	 37676	 8.29	   1.30	 1.143	G6/G8III
115.9519544656	-28.9548257694	 37677	 3.94	  -0.37	 0.160	A2Iab
115.9520512000	-36.2184779728	 37678	 7.73	   2.01	 1.236	K1III
115.9581050749	+09.6036413053	 37679	 7.88	   7.02	 0.238	A2
115.9586015057	-24.8136128435	 37680	10.45	  -1.80	-0.060	A0
115.9629742089	+77.8773957577	 37681	 9.25	   6.14	 0.485	G
115.9657721973	-07.2751901264	 37682	 8.19	   5.36	 1.018	K0
115.9668334881	-46.8523159289	 37683	 9.45	  18.63	 0.769	G8V
115.9694182777	-37.7204952631	 37684	 8.07	   2.22	-0.027	A0III
115.9728829990	+15.2576742146	 37685	 7.27	   5.48	 0.296	F0
115.9744535401	+36.0410539982	 37686	10.38	   9.23	 0.713	F8
115.9745266716	-64.6234464530	 37687	 9.16	   1.34	 1.232	K0III
115.9813054213	-16.1781008483	 37688	 8.15	   3.85	-0.006	Ap...
115.9852620960	-41.8535178046	 37689	 8.86	   4.69	-0.010	B9V
115.9911950243	-23.6804009117	 37690	10.36	   6.08	 0.138	A2
115.9918552280	+24.2440158104	 37691	 7.06	   2.98	 0.270	A5
115.9922853699	-28.4315902632	 37692	 8.09	   2.00	-0.119	B9IIIp (Si)
115.9958026995	+29.4060528844	 37693	 9.21	   1.26	 0.935	K0
115.9984146312	+52.6500448354	 37694	 8.62	   6.76	 0.417	F5
116.0032280282	-67.2020360189	 37695	 7.62	   2.48	 1.519	M4III
116.0075919739	-52.6635832462	 37696	 8.76	   2.96	 1.139	K1III
116.0104064608	-38.8179528482	 37697	 7.42	   5.96	-0.057	B9V
116.0120784520	-33.8787190833	 37698	 9.53	   4.26	 0.080	A0
116.0139436288	-42.9776190774	 37699	 7.20	   1.54	 1.619	M1/M2III
116.0148202717	+01.3225103049	 37700	 9.88	   4.89	 0.180	A2
116.0174134711	+50.4337936292	 37701	 5.31	   4.73	-0.001	A0IIIn
116.0214585249	-31.3325437196	 37702	 7.85	   2.93	 0.984	G8III
116.0236382976	+65.4381174906	 37703	 8.19	   4.57	 1.424	K
116.0288114494	+25.7841590079	 37704	 5.30	   5.48	 1.535	K5III
116.0318065308	+02.4054222572	 37705	 6.46	   7.53	 0.211	F0III
116.0357040401	+42.3096091840	 37706	 7.83	   2.07	 1.663	M...
116.0395332994	+38.8378072294	 37707	 7.49	   1.84	 1.565	M...
116.0402305359	+14.1732148003	 37708	 7.30	   2.62	 1.581	M...
116.0402720026	-31.6807153146	 37709	 7.51	   2.97	 0.350	A9IV
116.0403586168	-36.0625046452	 37710	 5.80	  22.99	 0.320	F0IV
116.0449173385	-37.1650793036	 37711	 9.11	   2.07	 1.510	K3/K4
116.0454906063	-03.2513609246	 37712	 8.28	   9.08	 0.508	F8
116.0471369036	-32.4628259447	 37713	 8.25	   5.23	 1.032	G8III
116.0471798617	+49.5599549232	 37714	 9.63	   7.91	      	G0+...
116.0476817967	-27.7098873772	 37715	 8.60	  13.18	 0.662	G3V
116.0488848630	-24.6789203553	 37716	10.17	   3.29	-0.196	A0
116.0516222584	-10.7377119775	 37717	 9.39	   1.89	 0.038	A0
116.0521346356	-50.4567269921	 37718	 6.64	  32.45	 0.527	F8V
116.0538087287	-33.9912234981	 37719	 9.89	   1.59	-0.010	A0
116.0542399114	-69.8215930036	 37720	 6.16	   8.09	-0.032	A0IV/V
116.0558061201	-29.5680703435	 37721	 9.43	   1.64	 1.104	K1III
116.0579137535	+20.2014569445	 37722	 7.35	  19.79	 0.685	G5
116.0585724106	+12.8600712006	 37723	 6.40	   3.72	 1.392	K0
116.0618270150	-58.4659330196	 37724	 8.32	   4.55	 0.978	K0III
116.0655617460	-17.8639445324	 37725	 7.73	   1.64	 0.003	B9III
116.0667131905	-51.7853466289	 37726	 7.75	   2.49	 1.023	G8III
116.0686512427	-50.4666150244	 37727	 7.55	  33.25	 0.700	G0
116.0731263116	-53.1487794921	 37728	 8.84	   3.16	 1.044	G8/K0III
116.0768830626	-23.8899160678	 37729	 8.18	   4.50	 1.460	K2/K3III:
116.0773299327	+38.7021171378	 37730	 9.28	   6.70	 0.536	G0
116.0794878300	-57.9461056908	 37731	 8.88	   3.39	 1.107	G4
116.0822710414	-05.0549436704	 37732	 7.72	  21.33	 0.612	G1V
116.0840460673	-25.7138596946	 37733	 8.26	   0.64	 0.115	A1IV/V
116.0855621439	+45.3684769283	 37734	 7.50	   8.25	 1.022	K0
116.0860483198	-69.5110072440	 37735	 8.79	  20.33	 0.900	K0IV/V
116.0886226943	-30.2349097481	 37736	 7.69	   4.16	 0.014	A0V
116.0970431944	-09.5638620803	 37737	 8.40	   4.43	 0.084	A2
116.1023946680	-23.8455274179	 37738	 9.77	   5.32	 0.426	A0
116.1118794357	-40.5503654047	 37739	 7.75	   3.18	 1.289	K1III
116.1118924534	+24.3979925955	 37740	 3.57	  22.73	 0.932	G8III
116.1127502935	+70.7445326633	 37741	 8.07	   0.18	 1.277	G5
116.1148171606	-37.6633413935	 37742	 8.30	   2.62	-0.032	B8V
116.1225769674	-21.5067739632	 37743	10.02	  -0.86	 0.203	B4/B5III:
116.1234113016	+35.1738032068	 37744	10.17	   5.08	 0.589	F8
116.1234509657	+18.6014002964	 37745	 8.36	   0.08	 0.035	A0
116.1314531093	-25.6284995262	 37746	11.02	  -4.29	-0.030	B8V
116.1335625432	+23.3451969692	 37747	 7.38	   3.41	 1.544	K5
116.1346081705	+36.6956771050	 37748	 9.54	   4.77	 0.532	F8
116.1384401748	+06.2397428553	 37749	 9.34	   4.34	 1.038	K0
116.1407576315	-12.3137396743	 37750	 8.55	   1.61	 0.030	Asp...
116.1423746987	-24.6740791482	 37751	 5.62	   1.75	-0.191	B2II
116.1424285567	-37.9429172416	 37752	 5.89	   5.36	-0.115	B8V
116.1445634139	-59.5057264726	 37753	 8.69	   1.75	 1.224	K2III
116.1472698020	-15.9733868243	 37754	 8.60	   0.17	 1.623	K4III
116.1479546469	+11.9274705185	 37755	 8.99	   2.75	 1.300	K0
116.1500352223	-33.0812949605	 37756	12.16	   3.41	 0.700	
116.1514531720	-35.1321397397	 37757	 8.03	   6.44	 0.108	A3IV
116.1523420113	-17.2907056017	 37758	 8.07	  11.12	 0.955	A2
116.1543023751	+17.4773697457	 37759	 8.90	   2.93	 0.238	A2
116.1578620861	-33.0808145389	 37760	 8.86	   2.28	 0.968	G6III
116.1588094495	+31.1139246103	 37761	 7.97	   3.91	 0.400	A5
116.1595150686	-42.7266470675	 37762	 9.14	   1.46	 1.227	K7
116.1610672734	-56.7087822410	 37763	 8.31	   2.37	-0.010	B8/B9III
116.1621050440	-01.8998571925	 37764	 9.93	   1.63	 0.975	K2
116.1675877291	-47.0084711987	 37765	 6.76	   4.03	-0.073	B5V
116.1673928505	+03.5524536380	 37766	11.19	 168.59	 1.600	M4.5Ve
116.1691926164	-54.6400795578	 37767	 7.73	   1.50	 1.734	M1III
116.1702392455	+77.7782024895	 37768	 9.28	   6.46	 0.552	G
116.1707582733	+17.0045965531	 37769	 8.45	   1.21	 0.028	B9
116.1734022582	+35.8529571010	 37770	 8.27	   0.38	 1.354	K2
116.1748586048	-23.8379920692	 37771	10.10	   1.18	 0.217	A0
116.1797729359	-17.6932263914	 37772	 7.78	   4.70	 1.171	K0III
116.1827275874	-66.0719331787	 37773	 6.37	   5.03	 0.949	G6/G8III
116.1860664389	-62.4519754646	 37774	 8.04	   2.25	 1.121	K1IIICN...
116.1871307589	+32.3459612182	 37775	 8.42	   5.45	 0.367	F0
116.1911416924	-08.3924400040	 37776	 8.25	   1.37	 1.528	K5
116.1923298768	+76.0758832603	 37777	 8.00	   0.96	 1.513	K0
116.1929303229	-45.9706118083	 37778	 8.69	   2.75	-0.001	B8V
116.1950166847	-13.0989739151	 37779	11.42	   1.52	      	
116.1958762860	-23.8370392083	 37780	 9.97	   2.87	 0.164	A0
116.1962641009	-33.7317592450	 37781	 8.39	  21.34	 0.793	K0V
116.1993683702	-15.0850089435	 37782	 7.90	   8.45	 0.470	F5V
116.2026331071	+21.8346841878	 37783	 9.34	   2.89	 0.837	G5
116.2198189387	-16.1222334961	 37784	 8.30	   1.01	-0.020	B2V
116.2225614665	+48.7282286852	 37785	 8.12	  10.85	 0.417	F2
116.2263714773	+06.2606332271	 37786	 8.73	   3.69	 1.163	G5
116.2334432660	-13.6948360704	 37787	 8.17	   4.05	 0.048	A0V
116.2340463464	+24.3204714293	 37788	 8.49	   5.43	 0.600	G0
116.2341308858	+39.5563671016	 37789	 6.74	  29.22	 0.545	F8V
116.2363762575	-40.4627756528	 37790	 8.43	   2.75	-0.034	B8/B9V
116.2425938624	-31.9082112894	 37791	10.13	   1.62	 0.307	WC4-N6
116.2433801697	-02.3603688149	 37792	 9.70	   4.53	 1.179	K2
116.2438152082	-07.7247423811	 37793	 8.69	   3.43	-0.035	A0
116.2470383341	-58.9554036444	 37794	 8.93	   1.01	-0.029	B8III
116.2488048082	+40.4520989400	 37795	 9.65	   2.13	 0.287	F0
116.2509387553	-73.8419183340	 37796	 8.98	   6.32	 0.390	F2V
116.2524841560	+15.8950039217	 37797	 7.87	   2.29	-0.010	A0
116.2549156496	+02.1373840757	 37798	10.19	  40.58	 1.349	M0
116.2578923336	+23.0196070526	 37799	 7.53	   4.99	 1.134	K0
116.2621100580	+41.1946059287	 37800	 8.05	   2.25	 1.020	K0
116.2633710602	-11.7641756606	 37801	 8.10	   0.27	-0.065	B8
116.2672896678	+48.3945613063	 37802	 7.67	  15.29	 0.313	F0
116.2698845750	-37.8878710212	 37803	 6.53	   3.54	-0.099	B2V
116.2745595805	+50.8480816142	 37804	 8.49	   5.04	 0.244	A5
116.2762266162	+43.1115457579	 37805	12.18	  -3.31	      	F7:
116.2798852687	-50.2878457751	 37806	 7.70	   2.66	 0.387	F2III/IV
116.2840020837	-48.9153524986	 37808	 7.84	   2.71	 0.057	A0V
116.2850441665	-39.8487969106	 37809	 7.54	   2.11	 1.504	K3III
116.2871824493	-61.3459111561	 37810	 9.89	  15.01	 0.837	
116.2888958124	+20.3160454374	 37811	 6.53	   7.08	 0.007	A1V
116.2908595947	-24.6526736106	 37812	 7.82	   1.04	 0.310	B9.5Iab
116.2923069793	+47.2409562847	 37813	 9.93	   4.64	 0.346	F0
116.2932491533	-23.7962245804	 37814	10.69	   0.86	 0.108	A0
116.3013020606	-04.4539622649	 37815	 6.81	   7.05	 1.216	K5
116.3039556736	-20.8103634200	 37816	 9.03	  -0.22	 0.092	B0.5Ib/II
116.3102192919	-81.9674956107	 37817	 7.49	   9.44	 0.210	A2/A3IV
116.3120178246	+75.7976356344	 37818	 8.43	   3.31	 0.279	A0
116.3137331050	-37.9685839696	 37819	 3.62	   2.35	 1.706	K4III
116.3182690744	+20.3879142614	 37820	 9.77	   3.04	 1.061	G5
116.3223826217	-10.8678281824	 37821	 8.55	   0.07	 1.299	K5
116.3239028111	-18.0349509875	 37822	 8.92	   3.92	 0.029	B9V
116.3251791412	-43.7525657726	 37823	 6.02	   3.68	-0.069	B6IV
116.3273962123	-00.4382383651	 37824	 7.99	   4.38	 0.041	A0
116.3291188874	-00.4441520762	 37825	10.81	 -11.26	 0.207	
116.3289598275	+28.0261986152	 37826	 1.16	  96.74	 0.991	K0IIIvar
116.3355331640	-34.3564502607	 37827	 9.25	   8.95	 0.530	F8
116.3379893582	+56.1378647104	 37828	 8.42	   6.04	 0.403	F5
116.3395898155	-39.3452025046	 37829	 7.19	   4.21	-0.027	A0IV
116.3409326018	-00.5134049914	 37831	 7.61	  10.72	 0.374	F2
116.3408341001	+74.3532461191	 37830	10.35	   9.88	 0.571	F8
116.3413253850	-16.5867333926	 37832	 8.16	   7.63	 0.393	F2V
116.3418983780	-14.3381126465	 37833	 9.05	   1.20	 0.120	A2
116.3465506412	+33.7361275760	 37834	10.27	   3.03	 0.233	F0
116.3514867535	-50.5937619044	 37835	 9.71	  10.00	 0.715	G5V
116.3523214431	+14.5996821994	 37836	 8.59	   6.00	 0.057	A0
116.3544488695	-44.8825768278	 37837	 7.56	   4.47	 0.116	A2V
116.3640172946	-37.5962762518	 37838	 6.99	   5.27	-0.065	B9V
116.3657606720	+07.7644690083	 37839	 9.36	   3.59	 0.129	A0
116.3669554887	+56.6187605590	 37840	 8.70	   4.68	 0.127	A0
116.3680156474	-40.7388563041	 37841	 7.93	   8.26	 0.992	K0III
116.3697191189	-14.6861666689	 37842	 7.03	   8.10	 0.345	A0/A1V
116.3713863885	-14.6905371082	 37843	 6.06	   9.09	 0.110	A6/A7
116.3718363207	-10.1606697786	 37844	 7.55	  19.05	 0.493	F8
116.3717487927	-51.3689393771	 37845	 8.72	   2.48	 0.978	G8III
116.3801633465	-58.9548665671	 37846	 7.84	   2.72	 0.900	G5III
116.3822437413	+42.1006980887	 37847	 8.73	   3.62	 1.421	M...
116.3838779086	+25.9886427258	 37848	 7.35	   1.89	 1.530	K5III
116.3881402131	-15.4428945776	 37849	 9.01	   3.22	 0.187	A2/A3III
116.3906152635	+05.2085943293	 37850	 9.16	   1.48	 1.717	M5
116.3919105999	-45.8020526864	 37851	 8.27	   2.23	 1.180	G8III
116.3927917407	+11.7437051047	 37852	 8.59	   3.79	 0.012	A0
116.3959259258	-34.1723633384	 37853	 5.36	  65.79	 0.589	G0V
116.3979869954	-56.7225700854	 37854	 6.10	   3.46	 0.397	F0II
116.3981345325	-79.6689398134	 37855	 8.90	  11.97	 0.600	F8V
116.4011255729	-44.3738778981	 37856	 8.77	   1.36	 0.020	B8/B9III
116.4071441951	-78.1670139724	 37857	 8.92	   2.82	 0.293	A3m...
116.4119878311	+66.8684113164	 37858	 8.38	   3.12	 0.271	A5
116.4186413985	+54.1571599407	 37860	10.72	   1.14	 0.377	A5
116.4224245598	+34.5553953064	 37861	 7.99	   7.31	 0.248	A3
116.4245255129	-67.0697900618	 37862	 8.30	   0.93	 0.743	F7III
116.4263999246	+39.5469459247	 37863	 7.14	  11.18	 0.364	F0
116.4283317233	-05.6784758024	 37864	 7.10	   4.09	 0.046	A0
116.4292212611	-48.3548107287	 37865	 7.47	   2.23	 1.367	K2III
116.4292062204	+64.7166287998	 37866	 7.85	   9.08	 0.449	F5
116.4317330123	+53.3851776421	 37867	12.10	   3.97	 0.700	G:...
116.4368279127	+47.6070309314	 37868	10.08	   2.40	 0.400	F2
116.4396817836	+37.6444144889	 37869	 8.85	  13.17	 0.516	G0
116.4406395210	+43.1737540312	 37870	 8.75	   2.26	 1.001	K0
116.4428472107	-29.9500517303	 37872	 8.96	   2.66	 0.012	A0V
116.4429818973	+10.3961509774	 37871	 7.55	   5.96	 1.047	G5
116.4433037611	+44.2848184647	 37873	 8.69	   1.92	 0.894	G5
116.4484611881	+02.5598480931	 37874	 7.97	   3.06	 0.003	A0
116.4543063788	-26.4920674271	 37875	 9.13	  -1.13	-0.028	O5/O6
116.4599945500	-34.3301357749	 37876	10.49	   2.15	 0.930	WC+...
116.4611331257	+45.5629898566	 37877	 8.73	   6.25	 0.466	F5
116.4616609717	-45.4263379394	 37878	 9.45	  14.39	 0.645	G6V
116.4622226437	-07.5296568010	 37879	 7.46	  18.73	 0.490	F8
116.4660572291	-24.2560589014	 37880	 6.73	   1.15	-0.149	B3IV/V
116.4671498286	-23.0233193349	 37881	 8.41	   3.83	 1.622	K5III
116.4675850697	+65.1536758005	 37882	 7.79	   8.96	 0.385	F2
116.4686279797	+65.1577906291	 37884	 7.74	  14.97	 0.351	F2
116.4687173784	+04.3116533758	 37883	 8.60	  -0.75	 1.187	K2
116.4703667060	+00.8226640619	 37885	 9.52	  14.64	 0.680	G2
116.4709930660	+26.7255533631	 37886	 7.87	   4.89	 0.011	B8
116.4762399341	-44.7617853129	 37887	 7.54	   3.92	 1.025	G8/K0III
116.4762829283	-64.4047801502	 37888	 9.17	   7.71	 0.432	F2V
116.4812691016	-35.3542563754	 37889	 8.25	   1.32	-0.108	B3II/III
116.4863197005	-26.9816288496	 37890	 8.47	   1.75	 1.565	K4III:
116.4869583794	-14.5638049961	 37891	 5.03	  13.80	 0.342	F2V
116.4884076228	-18.9045274250	 37892	 7.58	   3.37	 1.486	K4III
116.4889845834	-42.1955495697	 37893	 8.71	   0.67	 1.430	M2/M3e
116.5027705158	-42.7037052952	 37894	10.16	  17.79	 1.038	K2
116.5027072194	-69.4979742062	 37895	 8.70	   0.26	-0.020	B9V
116.5054365493	-23.2598945443	 37896	 7.51	   2.05	-0.118	B5III
116.5057262385	+02.0584468212	 37897	 8.97	   2.00	 1.414	K0
116.5069607643	+55.6423614297	 37898	 7.54	   5.61	 0.189	Am
116.5076554352	-49.5318898767	 37899	 8.39	   2.68	 1.010	G8III
116.5088360846	-57.2381645245	 37900	 7.95	   2.62	 1.609	M0III
116.5091258538	-06.7725107918	 37901	 5.49	  13.68	 1.378	K5III
116.5097489260	+60.4944524094	 37902	 9.08	   1.94	 1.288	K5
116.5106029880	+61.3630679142	 37903	 9.96	   1.47	-0.146	B2
116.5128695367	-67.4319606086	 37904	 7.75	   2.37	-0.003	A0IV/Vn
116.5148418741	-49.5326099235	 37905	10.36	   2.43	 0.429	
116.5147764865	-23.1416521632	 37906	 6.95	  17.36	 0.509	F7V
116.5274838567	-20.7594290329	 37907	 8.28	   2.18	 1.575	K3III
116.5310301438	+18.5100435234	 37908	 4.89	   9.55	 1.425	K5III
116.5331485142	+21.1220039847	 37909	 7.41	   9.49	 0.384	F2
116.5379348789	-51.5507379679	 37910	 7.31	   2.14	 0.870	G8/K0III+..
116.5386208752	+16.4384424796	 37911	 7.55	  -0.10	 1.440	K0
116.5391734775	+03.6875535047	 37912	 8.19	   2.68	 1.074	G5
116.5423911755	-03.9611174462	 37913	 7.65	   2.63	 0.000	A0
116.5429934629	+23.5486756468	 37914	 7.69	   1.82	-0.098	B9
116.5439345557	-37.9336700140	 37915	 5.87	   5.16	-0.111	B5V
116.5557484182	-47.6900792814	 37916	 8.48	   1.73	-0.027	B8V
116.5583608448	+51.0256736899	 37917	 6.97	   3.40	 1.627	K5
116.5616886058	-59.8140935627	 37918	 8.19	  27.59	 0.782	K0IV/V
116.5644651938	+61.7985924337	 37919	 9.22	   1.44	 1.024	K0
116.5653172415	+13.7286926414	 37920	 8.22	   2.11	 0.284	A2
116.5675031438	+10.7682518529	 37921	 5.25	  10.44	 0.018	A1Vnn
116.5684146194	+17.0142224087	 37922	 8.46	   9.63	 0.476	F5
116.5706943213	-59.8095113641	 37923	 8.27	  36.55	 0.787	K0IV/V
116.5759552427	-71.7202981150	 37924	 7.57	  10.67	 0.438	F3V
116.5788029438	-37.8977390468	 37925	 7.71	   0.54	 0.020	B7III
116.5793522470	-46.1596397797	 37926	 7.58	   2.84	-0.060	B6V
116.5810507018	-28.9105032171	 37927	 7.85	   1.27	 0.256	A8V
116.5920904010	-33.4253513075	 37928	 7.90	   2.12	-0.093	B8IV
116.5921993790	-45.0874973425	 37929	 8.02	   1.53	 1.430	K2III
116.5962468057	-64.0567523064	 37931	 9.83	   8.15	 0.634	G1
116.5970122267	-61.4301523666	 37930	 7.38	  19.56	 0.758	G5V
116.6003017778	-49.2410452520	 37932	 6.95	   4.47	 0.163	A4V
116.6061178193	-26.3893496649	 37933	 8.10	   0.59	-0.108	B6III
116.6142266399	+62.8305224917	 37934	 6.50	  12.32	 0.262	F0p SrEu
116.6189825019	-61.4007199890	 37935	 9.17	   5.19	 0.564	G0
116.6189486580	+45.9148397697	 37936	 9.03	   3.21	 0.347	F0...
116.6387952629	+47.1463355385	 37937	 9.41	   8.55	 0.429	F2
116.6393089667	-40.0595126221	 37938	 6.56	   1.43	-0.124	B2III
116.6392200226	-37.7725695724	 37939	 6.31	   5.46	 1.348	K3III
116.6424828791	-06.3400737874	 37940	 7.98	   6.33	 0.346	A2
116.6452313991	-11.6880055651	 37941	 7.93	   5.85	 0.094	A0
116.6472967240	+04.1305988864	 37942	 7.49	   1.86	 0.628	F5
116.6550124418	+01.8577300782	 37943	 7.44	   5.55	 0.103	A0
116.6568621874	-66.7081240565	 37944	 8.88	   4.18	 0.335	A9III
116.6581938936	+38.2721568467	 37945	 8.02	   4.69	 1.226	K0
116.6636728625	+37.5173941280	 37946	 5.15	   9.99	 1.588	M3III
116.6645534712	+16.6484482132	 37947	 8.08	   0.71	-0.017	A0
